startdate,enddate,race,FC_race_id,category,points,jpp
2023-09-20 00:00:00,2023-09-24 00:00:00,Tour de Luxembourg,37,2.PS,5.5,208
2023-09-22 00:00:00,2023-09-24 00:00:00,Adriatica Ionica Race,8516,2.1,2.4,0
2023-09-23 00:00:00,2023-09-30 00:00:00,Tour de Langkawi,128,2.PS,5.5,208
2023-09-24 00:00:00,,Europe RR,4019,CCRR,0,0
2023-09-24 00:00:00,,Paris-Chauny,949,1.1,2.4,0
2023-09-26 00:00:00,2023-10-01 00:00:00,CRO Race,773,2.1,2.4,0
2023-09-28 00:00:00,,Circuit Franco-Belge,231,1.PS,5.5,208
2023-09-28 00:00:00,,Coppa Agostoni,262,1.1,2.4,0
