rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
1,GT2s,"Giro dItalia, Stage 1 : Fossacesia Marina - Ortona I.T.T. (prov.)",41349,EVENEPOEL Remco,28377,2,0,6/05/2023,Roy
1,1.PS,GP de Plumelec-Morbihan,41310,DE LIE Arnaud,32221,4,50,6/05/2023,Wijnand
2,1.PS,GP de Plumelec-Morbihan,41310,GREGOIRE Romain,32766,1,35,6/05/2023,niet verkocht
3,1.PS,GP de Plumelec-Morbihan,41310,TILLER Rasmus Fossum,25623,0.5,25,6/05/2023,PB
4,1.PS,GP de Plumelec-Morbihan,41310,AULAR SANABRIA Orluis Alberto,24326,0,20,6/05/2023,PB
5,1.PS,GP de Plumelec-Morbihan,41310,VENTURINI Clément,21428,0,18,6/05/2023,niet verkocht
6,1.PS,GP de Plumelec-Morbihan,41310,BURGAUDEAU Mathieu,27151,0,16,6/05/2023,Paul
7,1.PS,GP de Plumelec-Morbihan,41310,FEDELI Alessandro,24807,0,14,6/05/2023,niet verkocht
8,1.PS,GP de Plumelec-Morbihan,41310,FINE Eddy,29886,0,12,6/05/2023,niet verkocht
9,1.PS,GP de Plumelec-Morbihan,41310,ZINGLE Axel,31263,0,10,6/05/2023,Paul
10,1.PS,GP de Plumelec-Morbihan,41310,CARDIS Romain,19112,0,8,6/05/2023,niet verkocht
1,2.1,"Tour of Hellas, General classification",41342,LEITAO Iuri Gabriel Dantas,31829,2,0,6/05/2023,niet verkocht
2,2.1,"Tour of Hellas, General classification",41342,GATE Aaron,13153,0.3,0,6/05/2023,niet verkocht
3,2.1,"Tour of Hellas, General classification",41342,ANIOLKOWSKI Stanislaw,24940,0.1,0,6/05/2023,niet verkocht
1,2.1s,"Tour of Hellas, Stage 4 : Costa Navarino - Ancient Olympia",41341,ANIOLKOWSKI Stanislaw,24940,0.2,0,6/05/2023,niet verkocht
1,2.1s,"Tour of Hellas, Stage 3 : Costa Navarino - Kyparissia",41340,LEITAO Iuri Gabriel Dantas,31829,0.2,0,5/05/2023,niet verkocht
1,2.1s,"Tour of Hellas, Stage 2 : Mycenae - Kalamata",41339,DUPONT Timothy,7948,0.2,0,4/05/2023,niet verkocht
1,2.1s,"Tour of Hellas, Stage 1 : Heraklion - Heraklion",41338,ANIOLKOWSKI Stanislaw,24940,0.2,0,3/05/2023,niet verkocht
1,2.1s,"Tour of Hellas, Prologue : Heraklion I.T.T.",41337,GATE Aaron,13153,0.2,0,2/05/2023,niet verkocht
0,GT2s,"Leiderstrui na Giro dItalia, Stage 1 : Fossacesia Marina - Ortona I.T.T. (prov.)",41349,Evenepoel Remco,28377,1,0,6/05/2023,Roy
-1,GT2s,"Jongerentrui na Giro dItalia, Stage 1 : Fossacesia Marina - Ortona I.T.T. (prov.)",41349,Evenepoel Remco,28377,0.1,0,6/05/2023,Roy
-2,GT2s,"Puntentrui na Giro dItalia, Stage 1 : Fossacesia Marina - Ortona I.T.T. (prov.)",41349,Evenepoel Remco,28377,0.2,0,6/05/2023,Roy
-3,GT2s,"Bergtrui na Giro dItalia, Stage 1 : Fossacesia Marina - Ortona I.T.T. (prov.)",41349,McNulty Brandon,26508,0.2,0,6/05/2023,Kees
1,1.WT3,Eschborn - Frankfurt,41307,ANDERSEN Søren Kragh,20793,5,50,Vel
2,1.WT3,Eschborn - Frankfurt,41307,KONRAD Patrick,16058,2,35,Albert
3,1.WT3,Eschborn - Frankfurt,41307,FEDELI Alessandro,24807,1,25,niet verkocht
4,1.WT3,Eschborn - Frankfurt,41307,HIRSCHI Marc,26509,0,20,Bram
5,1.WT3,Eschborn - Frankfurt,41307,ROTA Lorenzo,21958,0,18,Paul
6,1.WT3,Eschborn - Frankfurt,41307,STEINHAUSER Georg,30721,0,16,niet verkocht
7,1.WT3,Eschborn - Frankfurt,41307,ZIMMERMANN Georg,25165,0,14,niet verkocht
8,1.WT3,Eschborn - Frankfurt,41307,WILLIAMS Stephen,24346,0,12,niet verkocht
9,1.WT3,Eschborn - Frankfurt,41307,HERMANS Ben,4819,0,10,Albert
10,1.WT3,Eschborn - Frankfurt,41307,MARCELLUSI Martin,29845,0,8,niet verkocht
1,2.WT1,"Tour de Romandie, General classification",41261,YATES Adam,18975,10,50,Paul
2,2.WT1,"Tour de Romandie, General classification",41261,JORGENSON Matteo,28057,3,35,Albert
3,2.WT1,"Tour de Romandie, General classification",41261,CARUSO Damiano,6177,1,25,Jan
4,2.WT1,"Tour de Romandie, General classification",41261,POOLE Max,32809,0.5,20,niet verkocht
5,2.WT1,"Tour de Romandie, General classification",41261,PINOT Thibaut,13080,0.2,18,Nicky
6,2.WT1,"Tour de Romandie, General classification",41261,UIJTDEBROEKS Cian,31803,0,16,Vel
7,2.WT1,"Tour de Romandie, General classification",41261,BARDET Romain,13566,0,14,Jan
8,2.WT1,"Tour de Romandie, General classification",41261,BERNAL GOMEZ Egan Arley,24926,0,12,Paul
9,2.WT1,"Tour de Romandie, General classification",41261,DUNBAR Eddie,23765,0,10,Paul
10,2.WT1,"Tour de Romandie, General classification",41261,MAJKA Rafal,14310,0,8,Kees
1,2.WT1s,"Tour de Romandie, Stage 5 : Vufflens-la-Ville - Genève",41260,GAVIRIA RENDON Fernando,20777,1,0,Albert
1,2.WT1r,"Tour de Romandie, Points classification",41262,HAYTER Ethan,27025,0.0,0,Jan
1,2.WT1r,"Tour de Romandie, Mountains classification",41263,BERNARD Julien,23357,0.0,0,niet verkocht
1,2.1,"Vuelta a Asturias, General classification",41293,FORTUNATO Lorenzo,25552,2,0,niet verkocht
2,2.1,"Vuelta a Asturias, General classification",41293,RUBIO REYES Einer Augusto,27024,0.3,0,Frank
3,2.1,"Vuelta a Asturias, General classification",41293,SOSA CUERVO Ivan Ramiro,26378,0.1,0,Nicky
1,2.1s,"Vuelta a Asturias, Stage 3 : Cangas del Narcea - Oviedo",41292,SANCHEZ MAYO Pelayo,31655,0.2,0,niet verkocht
1,2.WT1s,"Tour de Romandie, Stage 4 : Sion - Thyon 2000",41259,YATES Adam,18975,1,0,Paul
1,2.1s,"Vuelta a Asturias, Stage 2 : Candas - Cangas del Narcea",41291,FORTUNATO Lorenzo,25552,0.2,0,niet verkocht
1,2.WT1s,"Tour de Romandie, Stage 3 : Châtel-Saint-Denis - Châtel-Saint-Denis I.T.T. (prov.)",41258,AYUSO PESQUERA Juan,31654,1,0,Albert
